epoch,phase,e_rmse_mol,e_rmse_atom,f_rmse,e_mae,f_mae
68,valid,0.327907,0.027008,0.310586,0.218028,0.181141
69,train,0.478372,0.036696,0.450398,0.230799,0.165266
69,valid,0.314541,0.025952,0.310731,0.206189,0.181233
70,train,0.477626,0.036637,0.450299,0.22909,0.165187
70,valid,0.313755,0.025882,0.310704,0.20503,0.181201
71,train,0.473119,0.036527,0.450231,0.22706,0.165149
71,valid,0.314719,0.025962,0.310655,0.206671,0.181218
72,train,0.473105,0.036522,0.4502,0.226214,0.165125
72,valid,0.314704,0.025955,0.310651,0.206728,0.181194
73,train,0.785551,0.056631,0.454821,0.502968,0.172373
73,valid,0.357566,0.029397,0.310443,0.284143,0.181538
74,train,0.640667,0.05019,0.449846,0.450703,0.165476
74,valid,1.832905,0.148395,0.308559,1.755813,0.180009
75,train,1.309738,0.098838,0.449572,1.098322,0.165158
75,valid,0.47012,0.03858,0.30816,0.406135,0.179396
76,train,1.373824,0.097185,0.449215,1.092777,0.163999
76,valid,1.505443,0.121516,0.306316,1.449798,0.180254
77,train,1.375728,0.096965,0.448357,1.080243,0.163586
77,valid,0.701519,0.056978,0.306949,0.62976,0.179668
78,train,1.271512,0.094401,0.447881,1.054675,0.16302
78,valid,1.440709,0.116766,0.307851,1.378502,0.179093
79,train,1.293852,0.09445,0.448485,1.06316,0.162794
79,valid,0.537162,0.043848,0.306898,0.485754,0.179295
80,train,1.321602,0.095314,0.448178,1.052331,0.163365
80,valid,1.4242,0.11533,0.30345,1.368363,0.179262
81,train,1.328873,0.093704,0.447955,1.041769,0.163201
81,valid,0.576876,0.047084,0.305321,0.500871,0.179615
82,train,1.276217,0.092971,0.446606,1.035191,0.162532
82,valid,2.019215,0.163551,0.305971,1.913718,0.177904
83,train,1.270907,0.084464,0.448403,0.807207,0.166389
83,valid,0.618682,0.050352,0.305,0.553863,0.179129
84,train,0.921696,0.06348,0.446078,0.670637,0.162088
84,valid,0.473157,0.03885,0.302608,0.317857,0.179253
85,train,0.901347,0.064639,0.445088,0.673939,0.161801
85,valid,0.594345,0.048321,0.30067,0.522184,0.179319
86,train,0.864186,0.063557,0.44409,0.663565,0.161357
86,valid,0.62932,0.051159,0.298603,0.552458,0.17702
87,train,0.906083,0.063536,0.444142,0.663131,0.161753
87,valid,0.54622,0.044272,0.29786,0.479319,0.178428
88,train,0.84795,0.06293,0.442873,0.657172,0.161258
88,valid,0.657999,0.05355,0.295137,0.579201,0.177247
89,train,0.941467,0.064848,0.442595,0.684595,0.160761
89,valid,0.474927,0.038873,0.293597,0.359572,0.177019
90,train,0.909089,0.063583,0.442254,0.673625,0.160249
90,valid,0.538143,0.043966,0.292374,0.424293,0.177053
91,train,0.905133,0.063483,0.441017,0.67001,0.159528
91,valid,0.517494,0.041982,0.291544,0.447631,0.176081
92,train,0.818112,0.062893,0.440002,0.661579,0.159024
92,valid,0.53559,0.043503,0.28921,0.453218,0.175773
93,train,0.928158,0.064123,0.439089,0.673193,0.158969
93,valid,0.578427,0.047036,0.287018,0.505019,0.175063
94,train,0.880888,0.062004,0.439044,0.65657,0.158068
94,valid,0.63737,0.0519,0.286508,0.566654,0.175247
95,train,0.894018,0.062973,0.438015,0.663613,0.158179
95,valid,0.554411,0.045238,0.283712,0.47767,0.175478
96,train,0.860231,0.062596,0.436801,0.65593,0.157865
96,valid,0.496735,0.040581,0.287203,0.423122,0.177176
97,train,0.873924,0.061962,0.437165,0.650575,0.15727
97,valid,0.808339,0.065247,0.283354,0.744623,0.176051
98,train,0.884367,0.063372,0.435908,0.666561,0.156685
98,valid,0.863638,0.069997,0.279335,0.803752,0.173353
99,train,0.886323,0.06297,0.435148,0.655221,0.156503
99,valid,0.85043,0.068957,0.277825,0.790615,0.173528
100,train,0.840736,0.061579,0.433892,0.653513,0.155896
100,valid,0.788661,0.063955,0.276026,0.721999,0.172603
101,train,0.853535,0.061793,0.433313,0.655425,0.155415
101,valid,1.011891,0.082118,0.275475,0.954054,0.173671
102,train,0.836384,0.062774,0.434543,0.654389,0.15537
102,valid,0.79162,0.063884,0.27266,0.720708,0.172787
103,train,0.866098,0.063411,0.432624,0.660914,0.154172
103,valid,2.032573,0.164167,0.270693,1.980872,0.173444
104,train,1.300312,0.09401,0.442463,0.901158,0.172813
104,valid,1.54568,0.124755,0.293643,1.480475,0.183848
105,train,1.001338,0.070005,0.456061,0.688062,0.172254
105,valid,0.501727,0.041007,0.278155,0.459678,0.172999
106,train,0.793012,0.061115,0.434695,0.61837,0.161171
106,valid,0.545528,0.044098,0.286606,0.441293,0.188255
107,train,1.060832,0.083129,0.438026,0.779186,0.167406
107,valid,1.305292,0.105531,0.28948,1.200933,0.191141
108,train,1.120775,0.078703,0.445585,0.75758,0.170868
108,valid,0.829989,0.068356,0.278079,0.602152,0.17865
109,train,1.223198,0.088045,0.432884,0.954381,0.156181
109,valid,1.222403,0.099281,0.273989,1.172528,0.169651
110,train,1.208766,0.084478,0.426683,0.943124,0.150646
110,valid,0.592829,0.048636,0.264175,0.54588,0.167307
111,train,1.179988,0.083185,0.425347,0.926026,0.149423
111,valid,1.40621,0.113727,0.261874,1.332558,0.167746
112,train,1.170592,0.084886,0.423794,0.940961,0.148851
112,valid,0.527145,0.042936,0.260598,0.447947,0.166217
113,train,1.167398,0.084031,0.42321,0.937036,0.148276
113,valid,1.35883,0.110343,0.260785,1.309272,0.165635
114,train,1.182495,0.084595,0.422928,0.94752,0.147932
114,valid,0.607063,0.049457,0.25866,0.562556,0.165865
115,train,1.208843,0.084765,0.421657,0.926057,0.147917
115,valid,1.162913,0.094165,0.254914,1.114709,0.165357
116,train,1.189025,0.084009,0.422288,0.926804,0.147749
116,valid,0.445412,0.036012,0.255375,0.36845,0.165968
117,train,1.197909,0.083118,0.421551,0.924625,0.147411
117,valid,1.043903,0.08492,0.255062,0.983716,0.164884
118,train,1.126539,0.082496,0.420486,0.918388,0.147439
118,valid,0.57327,0.046932,0.25143,0.533283,0.164559
119,train,1.198955,0.083026,0.420432,0.909993,0.148013
119,valid,0.703278,0.057101,0.250611,0.610414,0.164499
120,train,1.025823,0.077435,0.419512,0.856541,0.146186
120,valid,1.134981,0.091826,0.251952,1.082015,0.164802
121,train,1.145264,0.077464,0.419993,0.860503,0.146215
121,valid,0.477586,0.038665,0.251834,0.396497,0.163425
122,train,1.067639,0.076283,0.418553,0.844052,0.144932
122,valid,1.210125,0.098253,0.250868,1.164417,0.162965
123,train,1.046084,0.077224,0.417634,0.854774,0.145141
123,valid,0.631904,0.05148,0.248631,0.58501,0.16292
124,train,1.057072,0.077054,0.420564,0.845483,0.145273
124,valid,1.240485,0.099875,0.253366,1.181801,0.170018
125,train,1.11034,0.077965,0.423326,0.853532,0.149154
125,valid,0.364123,0.029483,0.245088,0.280922,0.16248
126,train,1.137942,0.077093,0.413378,0.849236,0.143831
126,valid,1.086481,0.088051,0.243138,1.038798,0.160686
127,train,1.097561,0.077618,0.412352,0.847788,0.143328
127,valid,0.499157,0.041051,0.255097,0.441447,0.173089
128,train,1.048055,0.076131,0.417687,0.835391,0.150469
128,valid,0.920457,0.07485,0.258114,0.822195,0.167735
129,train,1.137281,0.084651,0.442673,0.801911,0.171904
