Wave Vector	Branch 1	Branch 2	Branch 3	Branch 4	Branch 5	Branch 6	Branch 7	Branch 8	Branch 9	Branch 10	Branch 11	Branch 12	Branch 13	Branch 14	Branch 15	Branch 16	Branch 17	Branch 18	Branch 19	Branch 20	Branch 21	Branch 22	Branch 23	Branch 24	Branch 25	Branch 26	Branch 27	Branch 28	Branch 29	Branch 30	Branch 31	Branch 32	Branch 33	Branch 34	Branch 35	Branch 36	Branch 37	Branch 38	Branch 39	Branch 40	Branch 41	Branch 42	Branch 43	Branch 44	Branch 45	Branch 46	Branch 47	Branch 48	Branch 49	Branch 50	Branch 51	Branch 52	Branch 53	Branch 54	Branch 55	Branch 56	Branch 57	Branch 58	Branch 59	Branch 60	Branch 61	Branch 62	Branch 63	Branch 64	Branch 65	Branch 66	Branch 67	Branch 68	Branch 69	Branch 70	Branch 71	Branch 72	Branch 73	Branch 74	Branch 75	Branch 76	Branch 77	Branch 78	Branch 79	Branch 80	Branch 81	Branch 82	Branch 83	Branch 84	Branch 85	Branch 86	Branch 87	Branch 88	Branch 89	Branch 90
0.0405262	-1.0953335637	0.6390744668	1.0649801178	1.4010937486	2.0655801431	2.5304015138	2.6428430851	3.0414815504	3.3331327152	3.4378971028	3.6806287166	3.8702850662	4.1637262062	4.3766711437	4.5940589422	4.7319657288	5.1093278564	5.2978272002	5.5878807866	5.7199758266	5.977368008	6.1544900753	6.3577361197	6.576337328	6.6989253329	7.0255334832	7.2638810351	7.5035438301	7.7632562329	7.9400394241	8.1279688733	8.3483043814	8.4034023379	8.6970857386	8.8027955225	9.1284202425	9.2156358064	9.4443592613	9.7173866959	10.1260433465	10.3212392033	10.7001718192	11.1074594468	11.2088905921	11.445324191	11.7071345545	11.9826897743	12.1674810354	12.4742392957	12.8164057982	13.106040749	13.454049863	13.8803335108	14.1763188388	14.4375308827	14.5523120188	14.7903781056	15.0010160791	15.3389784141	15.6698651824	15.9132800062	16.2389158508	16.4956006708	17.0274225267	17.5293646435	17.6163889421	18.385565067	19.4332326287	19.6993701012	20.0868909157	21.146674105	21.5199737062	22.2584715052	22.6233946516	23.2500520077	24.1421749176	24.7861651517	25.2010163544	25.5656270605	25.6947159104	26.006162528	26.466880227	27.0198795452	27.5921984114	28.0251582412	29.0343233621	30.0815939096	30.7628034406	30.9740671783	34.6602063141
0.0445789	-1.1131882694	0.6670194215	1.1159595578	1.4638701379	2.1553749978	2.5438586045	2.6659901386	3.1315804708	3.3388795824	3.458862074	3.6931960216	3.8818331082	4.1709662878	4.4019818833	4.610572174	4.7712179733	5.1187720626	5.2913495689	5.5986093702	5.7404356926	5.9831783457	6.1566021471	6.3529533769	6.5759859582	6.6953566782	7.0198104053	7.2571844202	7.5154649479	7.785821142	7.9680658137	8.1595242827	8.3891666264	8.4603169694	8.7002479026	8.8000739069	9.141118359	9.2468513057	9.4785327462	9.7107729559	10.1386692634	10.3262482104	10.7187337765	11.0778858151	11.2048763764	11.4324747068	11.6859309354	11.9747125684	12.1613324741	12.4574944324	12.8073935112	13.1173390419	13.4536819934	13.9093958087	14.168887638	14.4459342945	14.5656049582	14.7837672886	15.0085938477	15.3573386857	15.66315026	15.9208410022	16.2392239544	16.4998282596	17.051567704	17.5200171849	17.6425356394	18.3867123255	19.5183636733	19.6861810362	20.0763437385	21.1275808458	21.5185014306	22.261023704	22.6390702242	23.2522795601	24.1483139355	24.7455637997	25.2189897492	25.5795178923	25.7041768293	26.0214695387	26.457169713	27.0304727331	27.611919134	28.0334528425	29.0562872342	30.1159847426	30.8074953695	31.0292624484	34.6572317119
0.0486315	-1.1135102471	0.6898498289	1.1839572284	1.5397299901	2.2332315838	2.5577344592	2.7028073466	3.2080902207	3.3469037735	3.4690469238	3.7114567815	3.8951662724	4.1834795666	4.4270726909	4.6214229476	4.8181450219	5.1202370717	5.2855740054	5.6090182186	5.7660522163	5.9834952352	6.1565485618	6.3540919666	6.5757223651	6.6940386433	7.0132174499	7.2447456752	7.530221544	7.8076055538	7.9990102114	8.18650953	8.4277259828	8.5154344529	8.7087144282	8.802242658	9.1523895664	9.2786768365	9.5083653727	9.7055511347	10.1527590701	10.3301605789	10.7383198242	11.0452629797	11.2030979808	11.4159795922	11.6686655276	11.9631511106	12.1594493634	12.4387756597	12.7986302458	13.1308380077	13.4544572909	13.9390996864	14.1613442587	14.455733912	14.5797467326	14.7743327576	15.0172498881	15.377484724	15.6587941199	15.930522207	16.2361335128	16.5065076707	17.0771445557	17.5162094318	17.666370587	18.3843144011	19.5951261365	19.6789619478	20.0705968557	21.107667338	21.5164116362	22.2639148014	22.6537764153	23.2542822953	24.1535997925	24.7039485524	25.2404109058	25.5922995481	25.711450953	26.0378211209	26.4467525548	27.0376313274	27.6320431778	28.0418077402	29.0791415996	30.1517771875	30.8476231672	31.092934205	34.6534455198
0.0526841	-1.0957296442	0.7198869769	1.2636690302	1.6228628908	2.2968328281	2.5705173792	2.7574254292	3.2482768182	3.3721556313	3.4793649113	3.7286478402	3.9100591229	4.2017376015	4.4510859895	4.6315799064	4.8657143718	5.1165715974	5.2813834924	5.6178172615	5.7962292856	5.9779155702	6.1544987902	6.3611173614	6.5758454349	6.6932885446	7.0073123173	7.2275528832	7.5468967941	7.8283255519	8.0323206597	8.2099250247	8.4593446724	8.5646858067	8.7260864338	8.8106133802	9.1659669586	9.3085266521	9.5327402317	9.7014611269	10.1677890002	10.3337797984	10.7568392209	11.0131303142	11.202074118	11.3962746185	11.6552816624	11.9485817731	12.1612553852	12.4188597537	12.7901912113	13.1457170027	13.4564331497	13.9672224373	14.1560535001	14.4661647589	14.594177413	14.7629391124	15.0260785332	15.3985741978	15.6577497834	15.9421756589	16.2302809545	16.5152087378	17.1030662191	17.5178471467	17.6875616089	18.3789147503	19.6323697712	19.7039248213	20.0738541832	21.087233354	21.5137024847	22.2671673633	22.6670157203	23.256090514	24.1576427139	24.6630044178	25.2640478307	25.6034858797	25.7164266899	26.0549978635	26.4363270684	27.040690612	27.6525871182	28.050190616	29.1021887605	30.1885130766	30.8831317114	31.1635327218	34.648881923
0.0567367	-1.0590666111	0.7634922921	1.3499729025	1.7086209797	2.3474190436	2.5825297471	2.8277487836	3.2492029778	3.4012822682	3.5087228251	3.7429976213	3.9246360725	4.2245664557	4.4734929856	4.6441150879	4.9072997919	5.1133268222	5.2786915716	5.6239872052	5.8290918462	5.9670032354	6.1521202909	6.372486563	6.5770996349	6.6909084125	7.0027813232	7.2079078914	7.5641895354	7.8487031457	8.065224215	8.2317686821	8.4822574662	8.6052699693	8.7514235857	8.8267667381	9.1838953462	9.3355334234	9.5520962904	9.697669882	10.183181324	10.3377974261	10.7708818819	10.9858657737	11.2008207597	11.3741182661	11.6449895532	11.9324590303	12.16565561	12.3986554248	12.781925727	13.1610958944	13.459609777	13.990393467	14.1564650868	14.4764783477	14.6084254749	14.7503814678	15.0343725559	15.4193267927	15.6612421411	15.9554122968	16.2224700692	16.5252605374	17.1284050485	17.5245573722	17.705985299	18.3709369102	19.6289584654	19.7553016171	20.0923293964	21.0665494496	21.5104339684	22.270801637	22.6783662432	23.2577549421	24.1600579377	24.6241212236	25.288859042	25.6125794272	25.7192234061	26.0726940003	26.4266011166	27.0393110148	27.6734640395	28.0585831825	29.1247988024	30.2257008759	30.9145113335	31.2388058233	34.6436227386
0.0607894	-1.0024718	0.8209031516	1.4392174632	1.7931379653	2.3884570052	2.5955084046	2.90675616	3.2325336885	3.4129572756	3.5568879861	3.757019405	3.9387985952	4.2490323314	4.4940972513	4.6605677229	4.9356958603	5.1175839112	5.2774110356	5.6273594646	5.8601113979	5.9538363594	6.1508708639	6.386276131	6.5803874358	6.685180039	6.9987599364	7.1893002718	7.5806800522	7.8697377164	8.0941041587	8.2542922225	8.4991637455	8.6342386255	8.7826664598	8.8499178532	9.2065792846	9.3595469416	9.5679458764	9.693284385	10.1984149583	10.3426565272	10.7755612692	10.9691425676	11.1985292115	11.3503738982	11.6365193359	11.9167826439	12.1714103859	12.3790290311	12.7736446204	13.1760396667	13.4639591178	14.0048973582	14.1662837752	14.4860699429	14.6220307302	14.7373882331	15.0416702243	15.4381639928	15.6705799347	15.9696247683	16.2135119867	16.5359356772	17.1524509242	17.5357397344	17.7216519212	18.3607220184	19.6192052433	19.7927386979	20.1313542954	21.0458533399	21.5067171343	22.2748354305	22.6875086883	23.2593338567	24.1605100883	24.5884205318	25.3139467687	25.6191424083	25.7201318964	26.0905284213	26.4182465956	27.0335160438	27.6944167336	28.0669925666	29.1464431275	30.2628086824	30.9422888134	31.3163585692	34.6377947282
0.0648420	-0.9244838699	0.8888359739	1.5285679863	1.8733711292	2.4230139089	2.6114807825	2.9849077689	3.2110838437	3.4166726374	3.6023406161	3.7726355961	3.9558431298	4.2721699057	4.5130047974	4.6809330576	4.9464411551	5.1332809203	5.2779528066	5.6285488645	5.8777948026	5.9489425197	6.1509166944	6.4008067304	6.5864352662	6.6757563271	6.9926313807	7.1761071494	7.5949531446	7.8922013957	8.1165820564	8.2783379801	8.5141519888	8.6511137346	8.8184080563	8.8766321622	9.2322814764	9.3806325913	9.5816699699	9.6884682353	10.2131302474	10.3484695001	10.7673030696	10.967280222	11.19441975	11.3258619158	11.6284052801	11.9037724524	12.1773549146	12.3607023322	12.7652532592	13.1896059758	13.4694350442	14.0095656173	14.186585169	14.4945498768	14.6343491545	14.7247689073	15.0477323575	15.4536566559	15.6866936852	15.984023179	16.20414691	16.5465650776	17.1747329658	17.5505737903	17.7346958939	18.3485736007	19.6092577464	19.8106592255	20.1895821338	21.0253490708	21.5026994515	22.2792801457	22.6942495956	23.260879178	24.1587799472	24.5567486431	25.3385213142	25.6228945908	25.7195292114	26.1080643706	26.4118514609	27.0236733326	27.7150161598	28.0754456697	29.1667060101	30.2992606563	30.9668378251	31.3939058223	34.6315641202
0.0688946	-0.822849052	0.9629324165	1.615374703	1.9473251307	2.4525051761	2.632083026	3.0480923699	3.1960756943	3.4201694252	3.63589826	3.7873721972	3.9800232417	4.2929616398	4.5303772693	4.7037767031	4.9427176415	5.1561018033	5.2811278082	5.6286640601	5.8696621686	5.9646022023	6.1512932906	6.4145545319	6.5952298382	6.6641812692	6.981511157	7.1721349567	7.6056893799	7.9164830547	8.1330131926	8.3020006071	8.5292962074	8.6608463317	8.8538958544	8.9055547556	9.2573344281	9.3986885716	9.592425048	9.686193509	10.227147609	10.355027252	10.7483124594	10.978833876	11.1876908787	11.3013632578	11.6193464301	11.8954452696	12.1824776337	12.3442238906	12.7568084362	13.2009520088	13.4759482759	14.0069312882	14.2146735136	14.5017607352	14.6441477352	14.7137886463	15.0524958569	15.4651033718	15.7095764657	15.9976735743	16.1950330345	16.5565913105	17.1949947743	17.5680422436	17.7453793772	18.3348061894	19.6002684277	19.8144526319	20.2595996037	21.0052073026	21.4985491045	22.2841310276	22.6985396881	23.2624242429	24.1548448847	24.5296384843	25.3618829263	25.6238105654	25.7177942395	26.1248370731	26.4078619759	27.0104363759	27.7347187217	28.0839630436	29.1852791804	30.3344389858	30.9883831443	31.4693349801	34.6251287537
0.0729472	-0.6934054293	1.0391459591	1.6969057616	2.0141623332	2.4772906191	2.6575903834	3.0749224905	3.2035919545	3.4286120186	3.6596686173	3.79719941	4.0112035366	4.3128427091	4.546158723	4.7268831299	4.931085897	5.1784056604	5.2875418269	5.6290563388	5.8473575232	5.9895779126	6.1506853743	6.425947112	6.604322324	6.6549273423	6.9649024701	7.1783083782	7.6118302499	7.9425787116	8.1456751749	8.3218563006	8.5427505861	8.6717081428	8.882935616	8.9383412503	9.2776340713	9.4133150968	9.5952534452	9.6932605212	10.2403823103	10.3618908625	10.7246065835	10.9985779363	11.1774981322	11.2777557933	11.6086524361	11.8930508232	12.1859639908	12.3299760222	12.7485116395	13.2094798952	13.4833133896	14.0004581291	14.2468500594	14.5077500809	14.6490264869	14.7067418428	15.0560259723	15.4727330422	15.7381230099	16.0095404287	16.1867630841	16.5655890748	17.2131309244	17.5869751087	17.754092442	18.3197955795	19.5926031605	19.810305755	20.3338813842	20.9855669468	21.4944401871	22.2893506737	22.7004862076	23.2639757731	24.1489449456	24.5072713512	25.3834193984	25.6221687178	25.7152615887	26.1403907182	26.4065141799	26.9946731261	27.752956161	28.0925181429	29.201945871	30.3676920845	31.0070569824	31.5407133568	34.618708378
0.0769999	-0.5260074387	1.1141951982	1.7704352006	2.073911261	2.4980376799	2.6857724908	3.0681536669	3.2249850648	3.447418112	3.6780152902	3.8027338863	4.0431796184	4.3346049537	4.5600710369	4.7480598624	4.9162834607	5.1957809338	5.2965763921	5.6310343783	5.8212524789	6.0141046471	6.1482609644	6.4335415367	6.6063456871	6.6569516491	6.9450710622	7.1925456347	7.6128074912	7.9700933753	8.1568663234	8.3354980991	8.5494580288	8.6918786935	8.9045254883	8.9738508148	9.290328776	9.4242391861	9.5865544571	9.7137059773	10.2527184132	10.3685070681	10.7015288681	11.0219495683	11.1630297335	11.2561404796	11.5965264553	11.8966394755	12.1872787275	12.3181689797	12.740661027	13.2149661395	13.4912031394	13.9926107473	14.2803166668	14.5127196246	14.6464196921	14.7059804506	15.0584740626	15.4773577341	15.7705269286	16.018554503	16.1798631795	16.5732729371	17.2291088109	17.6061059507	17.761333789	18.3040276067	19.586374128	19.8023294791	20.4071438227	20.9665421275	21.4905400213	22.2948467125	22.7003579532	23.2655115665	24.1415953998	24.4894818065	25.4026164922	25.6185185754	25.7122314853	26.1543229602	26.4077644134	26.9774023549	27.7692266444	28.1009956129	29.2165604151	30.3983487623	31.0229499986	31.606292504	34.6125337192
