Wave Vector	Branch 1	Branch 2	Branch 3	Branch 4	Branch 5	Branch 6	Branch 7	Branch 8	Branch 9	Branch 10	Branch 11	Branch 12	Branch 13	Branch 14	Branch 15	Branch 16	Branch 17	Branch 18	Branch 19	Branch 20	Branch 21	Branch 22	Branch 23	Branch 24	Branch 25	Branch 26	Branch 27	Branch 28	Branch 29	Branch 30	Branch 31	Branch 32	Branch 33	Branch 34	Branch 35	Branch 36	Branch 37	Branch 38	Branch 39	Branch 40	Branch 41	Branch 42	Branch 43	Branch 44	Branch 45
0.1757228	2.3061509354	3.188235808	3.2721437595	3.3868634613	3.4641342234	3.6294943144	3.8058200024	3.9573917341	4.2384780132	4.8013586699	5.2171340339	5.5375669095	5.9370313542	6.0416730624	6.3262557918	7.9052699606	9.1520834117	9.3044039539	9.6346586034	10.0023846517	10.432705178	10.7339726153	10.9716494857	11.4165525612	11.6394602749	12.0889379108	12.2733482491	12.6471203545	13.4133198304	13.8552455344	14.2241749487	14.6815497661	15.7716788967	15.8726353961	16.1905487304	16.4152534055	17.9135426752	18.091619011	18.2661692158	18.8571322844	20.2707773518	21.0272667728	21.1234610724	21.2873648151	22.8275641801
0.1810548	2.3579251537	3.1726942436	3.2590799283	3.3877987493	3.4817237843	3.6695683809	3.8515897767	4.0140717036	4.3026916907	4.8054986443	5.2299017815	5.5429505876	5.9199056163	6.040148109	6.3190865011	7.8105107247	9.1331959854	9.2799974263	9.5760624083	9.9700548306	10.3849689707	10.7024952044	10.9407132468	11.3854087229	11.6012639876	12.0484608225	12.2672660073	12.6084751286	13.4010337651	13.7849144334	14.2172485443	14.6126758716	15.7177825384	15.8386078211	16.1659705388	16.3630252623	17.9367311828	18.1470861057	18.3113208638	18.8975247364	20.3289886819	21.0799328794	21.1707956028	21.32596466	22.8272928964
0.1863869	2.4123256644	3.1571827327	3.2400919679	3.3928264683	3.4914005001	3.7194771352	3.9010624514	4.0722065372	4.3690157718	4.8136546383	5.2452562179	5.5491251961	5.9012331888	6.0392389054	6.3121240064	7.7133957898	9.1056194129	9.2460766367	9.5111298272	9.928944872	10.3368213788	10.6662590597	10.910175385	11.3497019933	11.5591891088	12.0008421782	12.2620249312	12.5624206343	13.3689253377	13.7190793414	14.2070889885	14.543117871	15.6666919523	15.8098171407	16.1368646771	16.3122157513	17.9600070963	18.2018446347	18.3548861522	18.9352813712	20.3954416226	21.137718691	21.2238105652	21.3706322249	22.8284713635
0.1917189	2.4656531132	3.139257522	3.2216288916	3.4002697527	3.4945487711	3.7763579937	3.9548338992	4.128841676	4.4340365591	4.8271011309	5.2628378981	5.5562272505	5.8818335543	6.0391355698	6.3058576219	7.6158702128	9.0679919303	9.2023583693	9.4439721912	9.874108366	10.2915693375	10.6257198737	10.8843082138	11.3076356271	11.5121513153	11.9455567802	12.2568430287	12.5098378862	13.3117861354	13.6654285215	14.1943200152	14.4745023793	15.6206744575	15.7863664413	16.1029141951	16.2653615737	17.9828813099	18.2539557207	18.3962255228	18.9690943001	20.4690337342	21.1996095556	21.2812737823	21.4212299847	22.8315895247
0.1970509	2.5140067571	3.1139156845	3.2127726237	3.4083430251	3.4929078225	3.8369951527	4.0130789551	4.1821889772	4.4950776391	4.8467397774	5.2817901052	5.5645029958	5.8627667505	6.0399248601	6.3008509255	7.5194721644	9.018943149	9.1494363965	9.3778200715	9.8039282379	10.2496561868	10.5832551468	10.865577103	11.2584905457	11.4587000343	11.8815576308	12.2486471106	12.4537668292	13.2329471327	13.6241361642	14.1796899837	14.408687512	15.5807799092	15.767993054	16.0645909616	16.2239011757	18.0051683262	18.3017308313	18.4351400413	18.9984371023	20.5482467717	21.2646251813	21.3417285684	21.4774232956	22.8370988324
0.2023830	2.5540311711	3.0793793385	3.2183128756	3.4156963083	3.487911774	3.8983790372	4.0752261206	4.2321337283	4.550809796	4.8725734225	5.3007632718	5.5742473322	5.8452999461	6.0415489281	6.2977444956	7.4253799181	8.9577635412	9.088835048	9.3141468614	9.7204278079	10.2089524158	10.542471339	10.8541435612	11.2028229575	11.3977950614	11.8072732063	12.2293418838	12.4023195074	13.1427689665	13.5884201585	14.1637964005	14.3484600573	15.5469114961	15.7540497227	16.0238279889	16.1876489001	18.0269077491	18.3438244928	18.4716289321	19.02345911	20.6312568147	21.3318000133	21.4037214528	21.5385619406	22.845372156
0.2077150	2.5837482484	3.0386386674	3.2365743642	3.4212199622	3.4808540749	3.9573363947	4.1399813941	4.2806316637	4.6014713176	4.9033896463	5.3181727724	5.585619521	5.8308229895	6.043789784	6.2972138314	7.3344464916	8.8852999911	9.0222752986	9.2526721322	9.6275032635	10.1672061555	10.5062941211	10.8483894908	11.1422518465	11.3294479321	11.7209209131	12.1866933373	12.3683229156	13.0513616366	13.550798383	14.1470563688	14.2976171942	15.5179472414	15.7436107307	15.9836417807	16.1553019512	18.0482705188	18.3794129193	18.5056002778	19.044791121	20.7160848854	21.4001494313	21.466023334	21.6036004218	22.8566616966
0.2130471	2.6029889064	2.994856715	3.2638169615	3.4237272481	3.4731966877	4.010160822	4.2057047208	4.3315489077	4.6484329774	4.9370528937	5.3327032026	5.598370859	5.8206940085	6.0463045903	6.299859441	7.2472370376	8.8041141759	8.9508606765	9.1922764925	9.5292281066	10.1240401154	10.4755213738	10.8451206689	11.0794746144	11.2549638554	11.6211780143	12.1200205088	12.3541244518	12.9651684978	13.5059823157	14.1304358718	14.2596794317	15.4919688152	15.7356774268	15.9471651615	16.1254229424	18.0694722907	18.4083161641	18.5366799131	19.0633200958	20.8007463312	21.468651139	21.5277133862	21.6711440627	22.8710588082
0.2183791	2.6130733181	2.9501977321	3.2958289562	3.4219214701	3.4666976308	4.0530309362	4.2713584912	4.3889584364	4.6933595362	4.9712796309	5.3438101471	5.6116941088	5.8159992814	6.048717552	6.3060394845	7.1640810463	8.7175705974	8.8752419618	9.1319566573	9.4292089854	10.0809580929	10.4488216521	10.8386480855	11.0188498809	11.17712339	11.5081781665	12.0413720379	12.3502621597	12.8870510444	13.4513273591	14.116497412	14.2356818005	15.4666340839	15.7294745213	15.9168805266	16.0969883096	18.0907046587	18.4309043704	18.56427458	19.0799742671	20.8833726941	21.53624731	21.5881123764	21.7396153432	22.8884611636
0.2237111	2.6160140545	2.9062263203	3.3279934764	3.415728873	3.4625986472	4.0835783467	4.3372594362	4.4543530142	4.7375203174	5.0043550235	5.3518602556	5.6244481338	5.8172450681	6.050729166	6.3157117658	7.0851441018	8.6288589974	8.7962183011	9.0712542987	9.330653045	10.0401152184	10.423648258	10.8195640656	10.9659970444	11.1012371472	11.3846546467	11.9605540994	12.349606745	12.8174125126	13.387007583	14.1083403723	14.2240467326	15.43970706	15.724748807	15.8940770702	16.0694771878	18.1120872799	18.4478332618	18.5878318977	19.0955449233	20.9622981117	21.6018569298	21.6466683365	21.8074376488	22.9085534764
